index,dataset,folder,scenario_idx,track_id,ego_id,timerange,priority_label,priority_value,n_valid_timesteps,n_invalid_timesteps,IO
56,waymo_train,waymo_0-299,116105,2352;ego,ego,"range(23, 82)",ego,0.0,40,0,0.6806310828433766
57,waymo_train,waymo_0-299,53713,1870;ego,ego,"range(5, 45)",equal,0.5,20,0,0.9793501831931201
58,waymo_train,waymo_0-299,116679,760;ego,ego,"range(12, 65)",ego,0.0,37,0,0.5405483609645859
59,waymo_train,waymo_0-299,118224,294;295;ego,ego,"range(25, 66)",295,1.0,10,0,0.6101223267001988
60,waymo_train,waymo_0-299,118961,1860;ego,ego,"range(16, 71)",equal,0.5,44,0,0.9277795800009317
61,waymo_train,waymo_0-299,119354,1624;1669;ego,ego,"range(21, 73)",1669,1.0,31,0,0.7197899275032075
62,waymo_train,waymo_0-299,57654,996;ego,ego,"range(27, 67)",ego,0.0,22,0,0.36902049812479254
63,waymo_train,waymo_0-299,58006,627;ego,ego,"range(27, 76)",627,1.0,24,0,0.6424102777803643
64,waymo_train,waymo_0-299,123816,1865;ego,ego,"range(19, 67)",1865,1.0,31,0,0.7516413459560412
65,waymo_train,waymo_0-299,60754,364;ego,ego,"range(0, 40)",equal,0.5,26,0,0.9161607140224327
66,waymo_train,waymo_0-299,124480,822;ego,ego,"range(4, 43)",ego,0.0,32,0,0.5147887816687049
67,waymo_train,waymo_0-299,126269,73;ego,ego,"range(6, 58)",ego,0.0,35,0,0.8594536463542388
68,waymo_train,waymo_0-299,62972,514;ego,ego,"range(0, 48)",514,1.0,42,0,0.7633328021252227
69,waymo_train,waymo_0-299,63545,1558;ego,ego,"range(28, 90)",ego,0.0,39,0,0.6519802361141552
70,waymo_train,waymo_0-299,128041,1991;ego,ego,"range(0, 54)",ego,0.0,37,0,0.5742621845574238
71,waymo_train,waymo_0-299,128046,510;ego,ego,"range(24, 63)",ego,0.0,17,0,0.8848854071931846
72,waymo_train,waymo_0-299,128061,1511;ego,ego,"range(11, 57)",ego,0.0,35,0,0.8414366255059781
73,waymo_train,waymo_0-299,128172,0;2;ego,ego,"range(0, 34)",2,1.0,29,0,0.6614491485999296
74,waymo_train,waymo_0-299,128987,851;ego,ego,"range(25, 81)",ego,0.0,37,0,0.5875775141732049
75,waymo_train,waymo_0-299,129657,1167;ego,ego,"range(31, 71)",ego,0.0,22,0,0.8142042407988769
76,waymo_train,waymo_0-299,130102,0;ego,ego,"range(0, 30)",equal,0.5,25,0,0.9090341237927576
77,waymo_train,waymo_0-299,130664,944;ego,ego,"range(3, 70)",ego,0.0,39,0,0.6170791475551778
78,waymo_train,waymo_0-299,132604,147;ego,ego,"range(21, 65)",147,1.0,29,0,0.7206758693422646
79,waymo_train,waymo_0-299,69563,1619;ego,ego,"range(0, 41)",ego,0.0,34,0,0.5771798149749352
80,waymo_train,waymo_0-299,134586,19;ego,ego,"range(28, 90)",ego,0.0,42,0,0.6999876799651612
81,waymo_train,waymo_0-299,70862,1201;ego,ego,"range(3, 43)",1201,1.0,26,0,0.6404487005479726
82,waymo_train,waymo_0-299,136334,874;ego,ego,"range(20, 80)",ego,0.0,45,0,0.5056541383718482
83,waymo_train,waymo_0-299,136545,22;ego,ego,"range(0, 54)",ego,0.0,40,0,0.7779620219879316
84,waymo_train,waymo_0-299,137674,121;ego,ego,"range(0, 43)",ego,0.0,33,0,0.45645647812015877
85,waymo_train,waymo_0-299,138672,448;ego,ego,"range(0, 52)",equal,0.5,43,0,0.9372850024569722
86,waymo_train,waymo_0-299,75730,1522;ego,ego,"range(13, 64)",ego,0.0,35,0,0.5338477192844623
87,waymo_train,waymo_0-299,7635,630;ego,ego,"range(26, 75)",630,1.0,29,0,0.668413059044832
88,waymo_train,waymo_0-299,141163,1055;ego,ego,"range(0, 51)",ego,0.0,46,0,0.6981788168533036
89,waymo_train,waymo_0-299,141367,1629;ego,ego,"range(4, 44)",1629,1.0,9,0,0.7000219303345405
90,waymo_train,waymo_0-299,77340,3023;ego,ego,"range(20, 78)",ego,0.0,36,0,0.5764255327759513
91,waymo_train,waymo_0-299,142692,10;ego,ego,"range(28, 76)",equal,0.5,41,0,0.9185228345570711
92,waymo_train,waymo_0-299,142643,834;ego,ego,"range(0, 32)",ego,0.0,18,0,0.49617946726325735
93,waymo_train,waymo_0-299,78420,1445;1449;ego,ego,"range(25, 78)",1449,1.0,37,0,0.695294788148033
94,waymo_train,waymo_0-299,144899,2082;ego,ego,"range(0, 35)",equal,0.5,28,0,0.8956735903590768
95,waymo_train,waymo_0-299,80298,1173;ego,ego,"range(29, 85)",ego,0.0,40,0,0.6027427703560893
96,waymo_train,waymo_0-299,82104,2678;2685;ego,ego,"range(27, 69)",2685,1.0,31,0,0.5939674526831147
97,waymo_train,waymo_0-299,82350,811;ego,ego,"range(0, 48)",811,1.0,36,0,0.7311607870853714
98,waymo_train,waymo_0-299,8355,2653;ego,ego,"range(0, 51)",ego,0.0,39,0,0.6508627184793131
99,waymo_train,waymo_0-299,8356,1911;1912;ego,ego,"range(25, 76)",1911,1.0,30,0,0.681847450906218
100,waymo_train,waymo_0-299,83990,1936;ego,ego,"range(24, 74)",ego,0.0,42,0,0.6994584508692618
101,waymo_train,waymo_0-299,84631,1071;ego,ego,"range(30, 73)",ego,0.0,36,0,0.8543679915258857
102,waymo_train,waymo_0-299,85224,44;ego,ego,"range(0, 32)",ego,0.0,19,0,0.7932463676880781
103,waymo_train,waymo_0-299,88794,7;ego,ego,"range(8, 52)",ego,0.0,31,0,0.37832779736272604
104,waymo_train,waymo_300-499,7312,924;ego,ego,"range(0, 34)",924,1.0,12,0,0.8643094797032393
105,waymo_train,waymo_300-499,1013,3457;ego,ego,"range(25, 73)",ego,0.0,35,0,0.5905217981357268
106,waymo_train,waymo_300-499,3052,572;ego,ego,"range(13, 75)",ego,0.0,45,0,0.763269184755205
107,waymo_train,waymo_300-499,3545,95;ego,ego,"range(40, 79)",ego,0.0,0,0,1.0
108,waymo_train,waymo_300-499,1698,3222;ego,ego,"range(18, 83)",ego,0.0,41,0,0.7160771291530867
109,waymo_train,waymo_300-499,4263,2;ego,ego,"range(15, 66)",ego,0.0,36,0,0.6261122606388306
110,waymo_train,waymo_300-499,6567,862;ego,ego,"range(0, 29)",ego,0.0,19,0,0.10392323843598404
111,waymo_train,waymo_300-499,7147,13;ego,ego,"range(12, 56)",13,1.0,25,0,0.8307180751583921
112,waymo_train,waymo_300-499,8791,458;ego,ego,"range(0, 43)",ego,0.0,34,0,0.418499547498537
113,waymo_train,waymo_300-499,10837,403;ego,ego,"range(0, 54)",ego,0.0,41,0,0.6782906792362666
114,waymo_train,waymo_300-499,11043,2566;ego,ego,"range(4, 55)",ego,0.0,37,0,0.7547620869281784
115,waymo_train,waymo_300-499,12568,630;ego,ego,"range(16, 65)",630,1.0,29,0,0.668413059044832
116,waymo_train,waymo_300-499,13381,3104;ego,ego,"range(30, 86)",equal,0.5,39,0,0.9199333252118697
117,waymo_train,waymo_300-499,14368,99;ego,ego,"range(16, 55)",ego,0.0,24,0,0.7826572219646476
118,waymo_train,waymo_300-499,15819,1233;ego,ego,"range(0, 38)",ego,0.0,0,0,1.0
119,waymo_train,waymo_300-499,17699,1355;ego,ego,"range(27, 80)",equal,0.5,41,0,0.9148973338486066
120,waymo_train,waymo_300-499,18460,1667;ego,ego,"range(5, 45)",1667,1.0,21,0,0.579123405567655
121,waymo_train,waymo_300-499,24084,1929;1937;ego,ego,"range(33, 82)",1937,1.0,43,0,0.6707942955990264
122,waymo_train,waymo_300-499,28017,1582;ego,ego,"range(0, 42)",ego,0.0,36,0,0.6282088154542476
123,waymo_train,waymo_300-499,29531,38;ego,ego,"range(27, 76)",ego,0.0,39,0,0.6696197575911912
124,waymo_train,waymo_300-499,30263,449;ego,ego,"range(0, 34)",ego,0.0,21,0,0.2506244601621672
125,waymo_train,waymo_300-499,31872,2421;ego,ego,"range(21, 70)",ego,0.0,37,0,0.5046683367372065
126,waymo_train,waymo_300-499,33029,2509;ego,ego,"range(0, 31)",equal,0.5,16,0,0.850908815203247
127,waymo_train,waymo_300-499,33167,440;ego,ego,"range(0, 39)",ego,0.0,34,0,0.5777890411123284
128,waymo_train,waymo_300-499,33208,22;ego,ego,"range(0, 34)",ego,0.0,20,0,0.8206215988136121
129,waymo_train,waymo_300-499,33632,493;ego,ego,"range(20, 75)",equal,0.5,34,0,0.8975963845082378
130,waymo_train,waymo_300-499,33825,2034;ego,ego,"range(7, 52)",ego,0.0,37,0,0.4941775745132628
131,waymo_train,waymo_300-499,36430,55;ego,ego,"range(0, 33)",ego,0.0,17,0,0.8126928544875415
132,waymo_train,waymo_300-499,36726,1673;ego,ego,"range(15, 81)",ego,0.0,40,0,0.6446547976571078
133,waymo_train,waymo_300-499,37568,819;ego,ego,"range(28, 76)",equal,0.5,37,0,0.951085145179388
134,waymo_train,waymo_300-499,39123,2072;ego,ego,"range(0, 36)",ego,0.0,31,0,0.4321371371754516
135,waymo_train,waymo_300-499,39488,816;ego,ego,"range(14, 56)",ego,0.0,37,0,0.4342503011804274
136,waymo_train,waymo_300-499,40777,776;ego,ego,"range(12, 52)",equal,0.5,21,0,0.8399439317009144
137,waymo_train,waymo_300-499,42498,874;ego,ego,"range(0, 50)",ego,0.0,45,0,0.5056541383718482
138,waymo_train,waymo_300-499,45365,2520;ego,ego,"range(0, 59)",ego,0.0,38,0,0.6582788083097508
139,waymo_train,waymo_300-499,47578,2564;ego,ego,"range(7, 56)",ego,0.0,44,0,0.6221055066055923
140,waymo_train,waymo_300-499,49968,2678;2685;ego,ego,"range(0, 39)",2685,1.0,31,0,0.5939674526831147
141,waymo_train,waymo_300-499,51732,1565;ego,ego,"range(20, 85)",ego,0.0,51,0,0.5674945907306038
142,waymo_train,waymo_300-499,52376,2;ego,ego,"range(16, 60)",equal,0.5,32,0,0.9441117605431191
143,waymo_train,waymo_300-499,52525,73;ego,ego,"range(0, 48)",ego,0.0,31,0,0.8587628005153142
144,waymo_train,waymo_300-499,52760,1344;1347;ego,ego,"range(25, 70)",equal,0.5,36,0,0.958910007679976
145,waymo_train,waymo_300-499,53170,1672;ego,ego,"range(31, 74)",1672,1.0,23,0,0.7411113717932105
146,waymo_train,waymo_300-499,53427,1658;ego,ego,"range(26, 67)",ego,0.0,12,0,0.7783225164999031
147,waymo_train,waymo_300-499,53674,426;ego,ego,"range(0, 34)",ego,0.0,22,0,0.3520868594254359
148,waymo_train,waymo_300-499,55806,989;ego,ego,"range(10, 74)",ego,0.0,38,0,0.6506297716388754
149,waymo_train,waymo_300-499,59323,1856;ego,ego,"range(0, 52)",ego,0.0,44,0,0.6780769768938675
150,waymo_train,waymo_300-499,59768,2678;ego,ego,"range(0, 41)",ego,0.0,36,0,0.4818536849507244
151,waymo_train,waymo_300-499,60782,484;ego,ego,"range(0, 43)",ego,0.0,38,0,0.5329914060529795
152,waymo_train,waymo_300-499,60921,1;ego,ego,"range(0, 57)",ego,0.0,39,0,0.547378672345006
153,waymo_train,waymo_300-499,61572,807;ego,ego,"range(10, 50)",ego,0.0,31,0,0.8536903228711598
154,waymo_train,waymo_300-499,63117,2357;ego,ego,"range(35, 85)",ego,0.0,32,0,0.5421909878459367
155,waymo_train,waymo_300-499,65037,276;ego,ego,"range(12, 58)",ego,0.0,34,0,0.5957406915111286
156,waymo_train,waymo_300-499,65447,17;ego,ego,"range(0, 41)",17,1.0,10,0,0.6314732356173295
157,waymo_train,waymo_300-499,66183,207;ego,ego,"range(15, 72)",207,1.0,36,0,0.7396824113732259
158,waymo_train,waymo_300-499,69948,2078;ego,ego,"range(21, 82)",ego,0.0,40,0,0.6784123530661909
159,waymo_train,waymo_300-499,71193,0;ego,ego,"range(3, 43)",ego,0.0,26,0,0.2586109658290194
160,waymo_train,waymo_300-499,72906,1300;ego,ego,"range(18, 62)",equal,0.5,0,0,1.0
161,waymo_train,waymo_300-499,74076,229;ego,ego,"range(30, 90)",229,1.0,44,0,0.6711648597369891
162,waymo_train,waymo_300-499,74479,430;ego,ego,"range(25, 88)",ego,0.0,32,0,0.5359990034243207
163,waymo_train,waymo_300-499,74600,2;ego,ego,"range(0, 40)",ego,0.0,25,0,0.4808446760319823
164,waymo_train,waymo_300-499,74720,1352;ego,ego,"range(0, 35)",ego,0.0,23,0,0.5060273986687321
165,waymo_train,waymo_300-499,75059,136;ego,ego,"range(0, 46)",ego,0.0,41,0,0.5894608331869927
166,waymo_train,waymo_300-499,75126,485;ego,ego,"range(15, 54)",equal,0.5,13,0,0.9241208638338235
167,waymo_train,waymo_300-499,83000,926;ego,ego,"range(0, 42)",ego,0.0,30,0,0.6286613801225737
168,waymo_train,waymo_300-499,84355,399;ego,ego,"range(11, 57)",ego,0.0,31,0,0.7748878810902726
169,waymo_train,waymo_300-499,86995,1089;1092;ego,ego,"range(0, 37)",1092,1.0,19,0,0.9025938969691698
170,waymo_train,waymo_300-499,86995,1089;1092;ego,ego,"range(0, 37)",1092,1.0,19,0,0.9025938969691698
171,waymo_train,waymo_300-499,87504,3244;ego,ego,"range(26, 82)",ego,0.0,38,0,0.6042908585594653
172,waymo_train,waymo_300-499,88500,1856;ego,ego,"range(0, 32)",ego,0.0,24,0,0.4968451870623863
