index,TTC,PET,a_p,a_l,jerk,yaw_rate,task_time,avg_delay,IO,impact
1,1.0,0.7135336414614175,0.860847060671928,1.0,0.7963163309408536,1.0,0.4723658679863096,0.33283968392356134,0.9849126807230851,0.9385201456826003
2,1.0,0.7374918284886126,0.9914121899983682,0.9972734141720295,0.5331838376058878,1.0,0.8216799288289913,1.0,0.5278286105098448,1.0
3,1.0,0.7073130703252244,0.6093745774471867,0.9977548155013759,0.8613478444714892,1.0,0.3533676510981806,1.0,0.8301469788263423,0.7338443757458677
4,1.0,1.0,0.9985098436041595,1.0,0.8370021837274815,1.0,0.7451010822143336,0.11398371814032325,0.6201507672788974,0.9953695853733437
5,1.0,1.0,0.9939664047870802,0.9987422464306239,0.5021632069845751,1.0,0.7397762298369607,0.0,0.6743510830787246,0.992916358142936
6,1.0,1.0,0.9602723695170684,0.999372885475164,0.640049495096328,1.0,0.6659043771893564,0.09224913661884074,0.5586665396211333,1.0
7,0.9922099053346368,1.0,0.9992660498611892,0.976434492070783,0.4406020025462275,1.0,0.61908972627417,0.20435449184699428,0.9084185107456589,0.9020539969848467
8,1.0,0.7136679045947325,0.8227014097028827,0.9998996286548948,0.7601164544537105,1.0,0.3517567530054199,0.0,0.7681876610474331,0.9082238938814082
9,0.8679232763884633,0.47000347280666344,0.7817421410924047,0.9365873283177094,0.3953398513935418,0.9964999427621598,0.3462749632663164,0.41511890970733345,0.3344817094305736,1.0
10,1.0,1.0,0.9998675658165096,1.0,0.7201958301836435,1.0,0.6514359135998262,0.0,0.6399248431863734,0.9195664224482935
11,0.9396340807544473,1.0,0.9853014493152223,0.9715649574060888,0.5574004706609706,1.0,0.6223881111094226,0.9184118467025294,0.7483837125806837,0.9642518711842423
12,1.0,1.0,0.9663015016061417,0.9569269414891945,0.45199603279463124,1.0,0.6635660281513375,0.0,0.6649513281457273,0.9981244267516163
13,1.0,1.0,0.9898904404239611,1.0,0.6446466786000351,1.0,0.8206334420853046,0.09408404050119165,0.9286921410029174,0.9864970048460561
14,1.0,0.5808355422416822,0.9475721273223051,1.0,0.7971271261740656,1.0,0.14567032944089708,0.9663623673246362,0.8293521503210229,1.0
15,1.0,1.0,0.9998549982997862,1.0,0.6235173357127644,1.0,0.6581156285293971,0.0,0.5262793341145537,1.0
16,1.0,1.0,0.909318670422623,0.9888947798778194,0.5626327076916594,1.0,0.6851508121651051,0.7521395292977159,0.887074344071548,0.8720604070612585
17,1.0,1.0,1.0,0.9993216484824835,0.6899686340934226,1.0,0.7212781971562752,0.29449012204072067,0.6891177825993033,0.9455510988950823
18,1.0,1.0,0.8424030231755171,1.0,0.28032141091789686,1.0,0.6802275237651692,0.9761183251519921,0.5157025848191441,1.0
19,1.0,1.0,0.9870829139722223,0.999847336790967,0.4520779648672247,1.0,0.40772655681759123,0.43455759846011194,0.5491956348272133,0.9622017973232797
20,1.0,0.9728406036220806,0.9326570206026416,0.9934760357375232,0.22365605476320125,0.9999909051673684,0.4197933368621426,0.40274149841397106,0.625787347462492,1.0
21,1.0,1.0,1.0,1.0,0.3894518689421562,1.0,0.6129100897732807,0.36375036477984635,0.5027190270356848,0.9827049746924879
22,1.0,1.0,0.9188091676444388,1.0,0.9048919674520276,1.0,0.6705815084586146,0.5560236916387138,0.5354368710411109,0.9270548936914422
23,1.0,0.7906342810706317,0.9853574214709269,0.996301505164764,0.5010953573959259,1.0,0.4471942871954895,1.0,0.8324284719493156,0.7359416798652296
24,1.0,1.0,0.8557359352548771,1.0,0.6297294009524752,1.0,0.6517531498340196,0.42518066075433014,0.785502769900377,0.9156579757407255
25,1.0,0.7721929141697351,0.9902535107471216,1.0,0.9396327289175133,1.0,0.5228558709380221,1.0,0.8128596170846122,0.756379185075932
26,1.0,1.0,0.8241846591136729,1.0,0.5400280359173301,1.0,0.5067891653447956,0.4474493513653907,0.5218493080661927,1.0
27,1.0,0.8845157776130538,0.9853884436744181,0.9983989270474656,0.48355330505248073,1.0,1.0,1.0,0.5232111770255243,0.7850773052863078
28,1.0,1.0,0.9731949751179798,0.9977918263471265,0.4875431237338549,1.0,0.7374186688527259,0.19337933157739529,0.5603763383920997,0.9851495941514247
29,1.0,1.0,0.923419815070201,1.0,0.8120214548238577,1.0,0.6832514356089194,0.0,0.5342674516828447,1.0
30,0.9940707516897235,1.0,0.9201028086408656,0.9854595698855306,0.7296654622171335,1.0,0.4752436243895357,0.8339580316441713,0.7304496974382494,0.9448532904553022
31,1.0,1.0,0.8986403902328436,0.9448566300153819,0.4263044771248506,1.0,0.5197152075510459,0.0,0.47538410260478625,1.0
32,1.0,0.8151334618649659,0.9627098209859835,0.7945931339803053,0.31259437392656164,0.968313752566407,0.32724898105414735,0.13701832328606386,0.9736428300633103,0.8771525565255371
33,1.0,1.0,0.9793347776839199,0.8999454065916844,0.5030728719153039,1.0,0.5834745064489232,0.8928983163713464,0.7915828973953731,0.8984570980763912
34,1.0,1.0,0.9282451211218877,0.9837166096210052,0.4377627597804449,1.0,0.5636884291760236,0.3163493724512035,0.5347570920110916,0.8210270619775641
35,1.0,1.0,1.0,0.9954475301106022,0.7561399154930396,1.0,0.853584247005024,0.7960779726775723,0.9193597912346467,0.8317784496209226
36,1.0,1.0,0.9579631437815062,0.997606597472931,0.7263293312912709,1.0,0.7598808331673986,0.7385434768553945,0.8754155725557388,0.9727737834274347
37,1.0,1.0,1.0,1.0,0.6972324401978657,1.0,0.7413294978842455,0.17200991842394836,0.6012317590936669,1.0
38,1.0,1.0,0.8651388442879759,0.9911231940939682,0.7112208179126321,1.0,0.5744081306688776,0.8454178964212572,0.7324875109332276,0.9367487699558222
39,1.0,0.8316153449303141,0.6359582187617746,0.9299918836631638,0.3212353918963074,0.9998554726133925,0.6031007027330499,0.0,0.6957367830830079,0.9101060918356092
40,1.0,0.8658593455222634,0.6753060957496954,0.9407357059576044,0.28748742442784075,0.9998848680140584,0.6019430115660648,0.0,0.6745643049562009,0.900815270720047
41,0.9881204519610439,1.0,0.9726608795646045,0.9451283702398748,0.5338004724500433,0.9999255529275105,0.25195617388383584,0.4065778648428313,0.8453410299495518,0.9649678197701005
42,1.0,1.0,0.9650682366177898,0.9649676246546759,0.34387150811314593,1.0,0.560649486112526,0.0,0.5407553225020677,0.976712823205111
43,1.0,0.651577622965186,0.8013338072113775,0.9637034418801972,0.32724568951023947,0.9999564735611917,0.07002930382694918,0.5074161258104645,0.3263520624885833,0.9264079366466302
44,1.0,1.0,0.9937270065546502,0.9940100093884888,0.7336447153108884,1.0,0.7346606966995716,0.0,0.7233237263476833,0.9071066532424024
45,1.0,1.0,1.0,0.9995518920444866,0.7490331327954567,1.0,0.7080212455642253,0.0406247868382267,0.5670656756718011,0.9901986153002609
46,1.0,1.0,0.8777787867200179,1.0,0.5162999195375377,1.0,0.695393677544498,0.01961424527064568,0.771442484032163,0.9882382989049456
47,0.9958269982300773,1.0,1.0,1.0,0.8084703016947651,1.0,0.6240325153153362,0.20850114566871344,0.5606225589245646,1.0
48,0.7972224996909993,0.5552104726443756,0.4540242661530363,0.999808015995091,0.34794362182651956,1.0,0.3061104487474007,0.040798080836631896,0.443403453955487,0.961440301384051
49,1.0,1.0,0.5608635907520106,1.0,0.8892828783920763,1.0,0.43883090144916925,0.37162263024586445,0.24728598649392244,1.0
50,1.0,1.0,0.9016105528159822,1.0,0.4868829912794504,1.0,0.6671717154247587,0.6352463560559795,0.40584299732729023,1.0
51,1.0,1.0,0.9617859183256823,1.0,0.650436231849947,1.0,0.7675435634593356,0.4939608846927591,0.6182888305726301,0.9576042169069393
52,1.0,0.7567645506031427,1.0,0.9976266991002221,0.7323944627506432,1.0,0.40573096975853645,1.0,0.7285138088026435,0.6233662443442431
53,1.0,1.0,0.9988058227974228,1.0,0.7689954700984224,1.0,0.6875088711524832,0.48230506739100776,0.6254979900175237,0.9709444434536795
54,1.0,1.0,0.9701300679553122,1.0,0.5699203620596924,1.0,0.23173476361225687,0.0,0.7840742732863414,0.9824871273516191
55,1.0,1.0,0.9872382275613978,0.9981828628157539,0.5732870894443507,1.0,0.7618589563902298,0.49347836365816705,0.26163605300269,1.0
56,1.0,1.0,1.0,1.0,0.8754285383573732,1.0,0.7171006246958405,0.0,0.6806310828433766,0.9904413482461537
