index,dataset,folder,scenario_idx,track_id,ego_id,timerange,threshold_s,exp_factor,n_timesteps,TTC
54,waymo_train,waymo_0-299,52926,1;ego,ego,"range(3, 72)",3.0,0.5,69,1.0
55,waymo_train,waymo_0-299,115640,545;ego,ego,"range(0, 32)",3.0,0.5,32,1.0
56,waymo_train,waymo_0-299,116105,2352;ego,ego,"range(23, 82)",3.0,0.5,59,1.0
57,waymo_train,waymo_0-299,53713,1870;ego,ego,"range(5, 45)",3.0,0.5,40,1.0
58,waymo_train,waymo_0-299,116679,760;ego,ego,"range(12, 65)",3.0,0.5,53,1.0
59,waymo_train,waymo_0-299,118224,294;295;ego,ego,"range(25, 66)",3.0,0.5,41,1.0
60,waymo_train,waymo_0-299,118961,1860;ego,ego,"range(16, 71)",3.0,0.5,55,1.0
61,waymo_train,waymo_0-299,119354,1624;1669;ego,ego,"range(21, 73)",3.0,0.5,52,1.0
62,waymo_train,waymo_0-299,57654,996;ego,ego,"range(27, 67)",3.0,0.5,40,0.9726417077921309
63,waymo_train,waymo_0-299,58006,627;ego,ego,"range(27, 76)",3.0,0.5,49,1.0
64,waymo_train,waymo_0-299,123816,1865;ego,ego,"range(19, 67)",3.0,0.5,48,1.0
65,waymo_train,waymo_0-299,60754,364;ego,ego,"range(0, 40)",3.0,0.5,40,1.0
66,waymo_train,waymo_0-299,124480,822;ego,ego,"range(4, 43)",3.0,0.5,39,0.894358256006252
67,waymo_train,waymo_0-299,126269,73;ego,ego,"range(6, 58)",3.0,0.5,52,0.7148007844334137
68,waymo_train,waymo_0-299,62972,514;ego,ego,"range(0, 48)",3.0,0.5,48,0.8989978020776261
69,waymo_train,waymo_0-299,63545,1558;ego,ego,"range(28, 90)",3.0,0.5,62,0.9816997761357508
70,waymo_train,waymo_0-299,128041,1991;ego,ego,"range(0, 54)",3.0,0.5,54,1.0
71,waymo_train,waymo_0-299,128046,510;ego,ego,"range(24, 63)",3.0,0.5,39,1.0
72,waymo_train,waymo_0-299,128061,1511;ego,ego,"range(11, 57)",3.0,0.5,46,1.0
73,waymo_train,waymo_0-299,128172,0;2;ego,ego,"range(0, 34)",3.0,0.5,34,1.0
74,waymo_train,waymo_0-299,128987,851;ego,ego,"range(25, 81)",3.0,0.5,56,1.0
75,waymo_train,waymo_0-299,129657,1167;ego,ego,"range(31, 71)",3.0,0.5,40,0.8724359546301031
76,waymo_train,waymo_0-299,130102,0;ego,ego,"range(0, 30)",3.0,0.5,30,1.0
77,waymo_train,waymo_0-299,130664,944;ego,ego,"range(3, 70)",3.0,0.5,67,1.0
78,waymo_train,waymo_0-299,132604,147;ego,ego,"range(21, 65)",3.0,0.5,44,0.8265106462549978
79,waymo_train,waymo_0-299,69563,1619;ego,ego,"range(0, 41)",3.0,0.5,41,1.0
80,waymo_train,waymo_0-299,134586,19;ego,ego,"range(28, 90)",3.0,0.5,62,1.0
81,waymo_train,waymo_0-299,70862,1201;ego,ego,"range(3, 43)",3.0,0.5,40,0.8800500391648037
82,waymo_train,waymo_0-299,136334,874;ego,ego,"range(20, 80)",3.0,0.5,60,1.0
83,waymo_train,waymo_0-299,136545,22;ego,ego,"range(0, 54)",3.0,0.5,54,0.9897031412501401
84,waymo_train,waymo_0-299,137674,121;ego,ego,"range(0, 43)",3.0,0.5,43,0.9699668531843619
85,waymo_train,waymo_0-299,138672,448;ego,ego,"range(0, 52)",3.0,0.5,52,0.8529288921741434
86,waymo_train,waymo_0-299,75730,1522;ego,ego,"range(13, 64)",3.0,0.5,51,1.0
87,waymo_train,waymo_0-299,7635,630;ego,ego,"range(26, 75)",3.0,0.5,49,1.0
88,waymo_train,waymo_0-299,141163,1055;ego,ego,"range(0, 51)",3.0,0.5,51,1.0
89,waymo_train,waymo_0-299,141367,1629;ego,ego,"range(4, 44)",3.0,0.5,40,1.0
90,waymo_train,waymo_0-299,77340,3023;ego,ego,"range(20, 78)",3.0,0.5,58,1.0
91,waymo_train,waymo_0-299,142692,10;ego,ego,"range(28, 76)",3.0,0.5,48,1.0
92,waymo_train,waymo_0-299,142643,834;ego,ego,"range(0, 32)",3.0,0.5,32,1.0
93,waymo_train,waymo_0-299,78420,1445;1449;ego,ego,"range(25, 78)",3.0,0.5,53,0.999497319548641
94,waymo_train,waymo_0-299,144899,2082;ego,ego,"range(0, 35)",3.0,0.5,35,1.0
95,waymo_train,waymo_0-299,80298,1173;ego,ego,"range(29, 85)",3.0,0.5,56,1.0
96,waymo_train,waymo_0-299,82104,2678;2685;ego,ego,"range(27, 69)",3.0,0.5,42,0.844731481109537
97,waymo_train,waymo_0-299,82350,811;ego,ego,"range(0, 48)",3.0,0.5,48,1.0
98,waymo_train,waymo_0-299,8355,2653;ego,ego,"range(0, 51)",3.0,0.5,51,1.0
99,waymo_train,waymo_0-299,8356,1911;1912;ego,ego,"range(25, 76)",3.0,0.5,51,1.0
100,waymo_train,waymo_0-299,83990,1936;ego,ego,"range(24, 74)",3.0,0.5,50,1.0
101,waymo_train,waymo_0-299,84631,1071;ego,ego,"range(30, 73)",3.0,0.5,43,1.0
102,waymo_train,waymo_0-299,85224,44;ego,ego,"range(0, 32)",3.0,0.5,32,1.0
103,waymo_train,waymo_0-299,88794,7;ego,ego,"range(8, 52)",3.0,0.5,44,0.8246316052138345
104,waymo_train,waymo_300-499,7312,924;ego,ego,"range(0, 34)",3.0,0.5,34,1.0
