index,task_time_frames,task_time_seconds,v_max,task_path,task_time
1,34,3.4000000000000004,17.758555553664216,28.52102072818497,0.4723658679863096
2,41,4.1000000000000005,7.974898289873461,26.86653682289085,0.8216799288289913
3,49,4.9,18.003453453231568,31.173006486276954,0.3533676510981806
4,53,5.300000000000001,25.786223423138942,101.83071778764756,0.7451010822143336
5,67,6.7,25.088961152623167,124.35345451649069,0.7397762298369607
6,40,4.0,22.675909523350583,60.39994963339586,0.6659043771893564
7,53,5.300000000000001,18.36254924361168,60.25074760009468,0.61908972627417
8,62,6.2,19.082208210916228,41.61623272276059,0.3517567530054199
9,40,4.0,21.930667889257467,30.376164871033655,0.3462749632663164
10,65,6.5,23.121822411110923,97.90550579208738,0.6514359135998262
11,58,5.800000000000001,22.20870456245875,80.17011536033232,0.6223881111094226
12,67,6.7,27.363085749470297,121.65333466256114,0.6635660281513375
13,68,6.800000000000001,23.26687260056585,129.83630149158583,0.8206334420853046
14,49,4.9,45.40109187175588,32.40660084868206,0.14567032944089708
15,30,3.0,27.857147234699756,54.999671884201156,0.6581156285293971
16,54,5.4,23.531833281529188,87.06341529669731,0.6851508121651051
17,54,5.4,26.743907239059,104.16490487083692,0.7212781971562752
18,47,4.7,22.48730725327183,71.89348104648624,0.6802275237651692
19,53,5.300000000000001,35.75621929311576,77.26742893914313,0.40772655681759123
20,31,3.1,13.264326196000267,17.26165484064534,0.4197933368621426
21,47,4.7,20.3271601665682,58.55599134387769,0.6129100897732807
22,53,5.300000000000001,23.44866690049077,83.33848483381585,0.6705815084586146
23,46,4.6000000000000005,20.577759828564254,42.330380537627946,0.4471942871954895
24,37,3.7,24.639566460455264,59.41798568924162,0.6517531498340196
25,45,4.5,16.875526455331922,39.70560637053092,0.5228558709380221
26,47,4.7,22.05568602845671,52.534638753301685,0.5067891653447956
27,41,4.1000000000000005,12.784142397767233,58.15374348924614,1.0
28,46,4.6000000000000005,21.147331602044122,71.73441075092617,0.7374186688527259
29,58,5.800000000000001,24.944935237565712,98.8532443109821,0.6832514356089194
30,46,4.6000000000000005,32.00198164500042,69.96019362524002,0.4752436243895357
31,39,3.9000000000000004,24.502001777925987,49.66284546378051,0.5197152075510459
32,41,4.1000000000000005,17.405975510848798,23.35395977573272,0.32724898105414735
33,40,4.0,26.273650743320694,61.32002160028171,0.5834745064489232
34,63,6.300000000000001,20.592714095508423,73.12961036409905,0.5636884291760236
35,63,6.300000000000001,22.61734891580225,121.62662028433326,0.853584247005024
36,48,4.800000000000001,18.580938822350493,67.77263651212876,0.7598808331673986
37,51,5.1000000000000005,23.42285614299908,88.55667633587257,0.7413294978842455
38,71,7.1000000000000005,28.834727805288136,117.59660488856842,0.5744081306688776
39,48,4.800000000000001,23.643224140907176,68.44437645242941,0.6031007027330499
40,60,6.0,23.643224140907176,85.3912412550549,0.6019430115660648
41,63,6.300000000000001,36.518795922058054,57.96715740080816,0.25195617388383584
42,39,3.9000000000000004,24.557339293870964,53.69543265605882,0.560649486112526
43,44,4.4,95.32342930183023,29.371906926580152,0.07002930382694918
44,57,5.7,23.23397399925714,97.2937988947457,0.7346606966995716
45,44,4.4,25.977124659829965,80.92636709445185,0.7080212455642253
46,51,5.1000000000000005,38.38826977701891,136.1442964835386,0.695393677544498
47,52,5.2,19.75189093700039,64.09427535498286,0.6240325153153362
48,44,4.4,19.335805613737474,26.043125386580225,0.3061104487474007
49,32,3.2,22.934354375415953,32.20577089509914,0.43883090144916925
50,32,3.2,18.229495826655842,38.91905280639507,0.6671717154247587
51,53,5.300000000000001,20.65602054122235,84.0282967494249,0.7675435634593356
52,44,4.4,21.533282844240187,38.44156681410508,0.40573096975853645
53,51,5.1000000000000005,27.382836178593863,96.01230822950207,0.6875088711524832
54,70,7.0,125.53643943462454,203.63809981974984,0.23173476361225687
55,33,3.3000000000000003,18.505749093182576,46.525943281460016,0.7618589563902298
56,60,6.0,27.197518092409883,117.0201432854613,0.7171006246958405
57,41,4.1000000000000005,11.369972543272285,22.440810147500823,0.48138799876850874
58,54,5.4,23.08642192435604,68.90223156002115,0.5526916450250634
59,42,4.2,21.960667844980737,28.290227712061082,0.3067196567253392
60,56,5.6000000000000005,21.769683174768186,101.01717566487702,0.8286193797085484
61,53,5.300000000000001,20.681637103186457,57.88535586125105,0.528089976743528
62,41,4.1000000000000005,14.341958260254824,27.05361427175684,0.46007960597629755
63,50,5.0,18.337533077672408,59.770816746423954,0.6518959392547766
64,49,4.9,19.867287440916783,21.975678932584923,0.22573954539887897
65,41,4.1000000000000005,32.64282069073031,69.10516162246577,0.5163437813350621
66,40,4.0,17.632829949231315,45.933151575119034,0.6512447478279209
67,53,5.300000000000001,31.588195807798265,29.984944298446393,0.17910287420364582
68,49,4.9,20.901119033401905,60.10279308778596,0.586852604435317
69,63,6.300000000000001,27.52577508468284,108.46861119972006,0.6254951884189538
70,55,5.5,23.789032746595495,81.97347546499692,0.6265184644170142
71,40,4.0,12.195689372092836,33.64450850562894,0.6896803345659375
72,47,4.7,10.15752813659722,38.358155808175056,0.8034739984637905
73,35,3.5,19.242099286278727,50.75373586797665,0.7536115043950002
74,57,5.7,18.695682845570232,83.87349730511839,0.7870613109757191
75,41,4.1000000000000005,13.297664148243065,13.596989474061463,0.24939258949104365
76,31,3.1,32.62606087783094,29.48936151744144,0.29156744662836587
77,68,6.800000000000001,34.15381538252467,103.5256972249082,0.4457589018516177
78,45,4.5,21.426858379374366,11.362362349962597,0.11784132635764052
79,42,4.2,18.23724459187566,56.10215568829023,0.7324382830403096
80,63,6.300000000000001,25.130579509201077,112.93854763362773,0.7133442181894685
81,41,4.1000000000000005,31.457054931146644,25.253218196738285,0.19580095863650093
82,61,6.1000000000000005,23.66002178754208,91.82030755035979,0.6362001510248372
83,55,5.5,13.022571701991911,57.19174971430627,0.7984981911418578
84,44,4.4,35.99079095090561,38.14337240775409,0.24086573385716145
85,53,5.300000000000001,19.265137475308244,66.74632120639112,0.6537013051051863
86,52,5.2,26.158906826778342,71.21312915007242,0.5235246495408195
87,50,5.0,10.749490648223444,53.54893953376002,0.9963065467220065
88,52,5.2,27.48047569074184,97.81884076154813,0.684533839325222
89,41,4.1000000000000005,10.775876018909765,19.98835674572913,0.45241880602726176
90,59,5.9,22.568462904754963,84.75832713535738,0.6365439338586238
91,49,4.9,15.45548211992676,40.10328079108588,0.5295430420793459
92,33,3.3000000000000003,26.972783977142594,61.99137559229338,0.6964525926176954
93,54,5.4,20.478515625,80.94190399895216,0.7319496078606741
94,36,3.6,24.97110461231916,65.59042643356223,0.7296258287758465
95,57,5.7,18.381168903196578,81.13858506618085,0.7744251500142286
96,43,4.3,26.11475527361483,78.60324678946887,0.6999807060504721
97,49,4.9,41.6560643293578,93.85372183475252,0.459808699908877
98,52,5.2,26.36029488931913,100.29205610507401,0.7316660889926242
99,52,5.2,20.03998641808427,75.69074161154188,0.7263433988776584
100,51,5.1000000000000005,19.748516292612532,87.65368594498695,0.8702930888303922
101,44,4.4,24.859968925205003,57.159403511308334,0.5225579148703711
102,33,3.3000000000000003,18.757819293687028,32.319470767189095,0.5221171430975691
103,45,4.5,11.430036397084214,28.320404990169,0.5506039624470583
104,35,3.5,19.082208210916228,28.046096227581348,0.4199288815092946
105,49,4.9,18.924515517498097,63.36543580433441,0.6833317122842222
106,63,6.300000000000001,38.605773535504476,180.93732239589932,0.7439356156844767
107,40,4.0,23.646004488414146,72.89596078645981,0.7707006147928364
108,66,6.6000000000000005,26.630512147156832,128.61574100417457,0.7317633764531831
109,52,5.2,10.175462596978086,45.01046225445015,0.8506599128403672
110,30,3.0,16.81605911339645,24.57699349222084,0.48717307121900066
111,45,4.5,7.344686773977711,18.334153378678668,0.5547215874212857
