index,dataset,folder,scenario_idx,track_id,ego_id,timerange,comfortable_threshold,uncomfortable_threshold,linear_decay_slope,n_timesteps,a_p
47,waymo_train,waymo_0-299,108745,118;ego,ego,"range(5, 56)",0.89,2.12,0.5,51,1.0
48,waymo_train,waymo_0-299,109961,344;ego,ego,"range(11, 54)",0.89,2.12,0.5,43,0.4540242661530363
49,waymo_train,waymo_0-299,49119,324;ego,ego,"range(0, 31)",0.89,2.12,0.5,31,0.5608635907520106
50,waymo_train,waymo_0-299,112924,97;ego,ego,"range(0, 31)",0.89,2.12,0.5,31,0.9016105528159822
51,waymo_train,waymo_0-299,114054,1150;ego,ego,"range(8, 60)",0.89,2.12,0.5,52,0.9617859183256823
52,waymo_train,waymo_0-299,52182,1332;ego,ego,"range(21, 64)",0.89,2.12,0.5,43,1.0
53,waymo_train,waymo_0-299,115062,2930;2933;ego,ego,"range(23, 73)",0.89,2.12,0.5,50,0.9988058227974228
54,waymo_train,waymo_0-299,52926,1;ego,ego,"range(3, 72)",0.89,2.12,0.5,69,0.9701300679553122
55,waymo_train,waymo_0-299,115640,545;ego,ego,"range(0, 32)",0.89,2.12,0.5,32,0.9872382275613978
56,waymo_train,waymo_0-299,116105,2352;ego,ego,"range(23, 82)",0.89,2.12,0.5,59,1.0
57,waymo_train,waymo_0-299,53713,1870;ego,ego,"range(5, 45)",0.89,2.12,0.5,40,0.8495192314207822
58,waymo_train,waymo_0-299,116679,760;ego,ego,"range(12, 65)",0.89,2.12,0.5,53,0.8919510413839108
59,waymo_train,waymo_0-299,118224,294;295;ego,ego,"range(25, 66)",0.89,2.12,0.5,41,0.6536968504661591
60,waymo_train,waymo_0-299,118961,1860;ego,ego,"range(16, 71)",0.89,2.12,0.5,55,0.9345942247544491
61,waymo_train,waymo_0-299,119354,1624;1669;ego,ego,"range(21, 73)",0.89,2.12,0.5,52,0.7985551411861036
62,waymo_train,waymo_0-299,57654,996;ego,ego,"range(27, 67)",0.89,2.12,0.5,40,0.955661602485959
63,waymo_train,waymo_0-299,58006,627;ego,ego,"range(27, 76)",0.89,2.12,0.5,49,0.914146808564244
64,waymo_train,waymo_0-299,123816,1865;ego,ego,"range(19, 67)",0.89,2.12,0.5,48,1.0
65,waymo_train,waymo_0-299,60754,364;ego,ego,"range(0, 40)",0.89,2.12,0.5,40,0.9949955194036555
66,waymo_train,waymo_0-299,124480,822;ego,ego,"range(4, 43)",0.89,2.12,0.5,39,0.6055896189145334
67,waymo_train,waymo_0-299,126269,73;ego,ego,"range(6, 58)",0.89,2.12,0.5,52,0.9410126180816172
68,waymo_train,waymo_0-299,62972,514;ego,ego,"range(0, 48)",0.89,2.12,0.5,48,0.9123929911882601
69,waymo_train,waymo_0-299,63545,1558;ego,ego,"range(28, 90)",0.89,2.12,0.5,62,0.9725143525950911
70,waymo_train,waymo_0-299,128041,1991;ego,ego,"range(0, 54)",0.89,2.12,0.5,54,1.0
71,waymo_train,waymo_0-299,128046,510;ego,ego,"range(24, 63)",0.89,2.12,0.5,39,0.9497550827473727
72,waymo_train,waymo_0-299,128061,1511;ego,ego,"range(11, 57)",0.89,2.12,0.5,46,0.8702278548640928
73,waymo_train,waymo_0-299,128172,0;2;ego,ego,"range(0, 34)",0.89,2.12,0.5,34,0.946205839536322
74,waymo_train,waymo_0-299,128987,851;ego,ego,"range(25, 81)",0.89,2.12,0.5,56,0.9920944176182882
75,waymo_train,waymo_0-299,129657,1167;ego,ego,"range(31, 71)",0.89,2.12,0.5,40,0.7076654297039846
