index,dataset,folder,scenario_idx,track_id,ego_id,timerange,comfortable_threshold,uncomfortable_threshold,linear_decay_slope,n_timesteps,a_l
1,waymo_train,waymo_0-299,32111,1272;ego,ego,"range(0, 33)",0.4,1.8,0.5,33,1.0
2,waymo_train,waymo_0-299,3671,794;ego,ego,"range(18, 58)",0.4,1.8,0.5,40,0.9972734141720295
3,waymo_train,waymo_0-299,46973,203;ego,ego,"range(8, 56)",0.4,1.8,0.5,48,0.9977548155013759
4,waymo_train,waymo_0-299,51490,2018;ego,ego,"range(25, 77)",0.4,1.8,0.5,52,1.0
5,waymo_train,waymo_0-299,5567,2184;ego,ego,"range(15, 81)",0.4,1.8,0.5,66,0.9987422464306239
6,waymo_train,waymo_0-299,79408,1998;ego,ego,"range(16, 55)",0.4,1.8,0.5,39,0.999372885475164
7,waymo_train,waymo_0-299,95569,2248;ego,ego,"range(27, 79)",0.4,1.8,0.5,52,0.976434492070783
8,waymo_train,waymo_0-299,102587,924;ego,ego,"range(13, 74)",0.4,1.8,0.5,61,0.9998996286548948
9,waymo_train,waymo_0-299,123876,2865;ego,ego,"range(28, 67)",0.4,1.8,0.5,39,0.9365873283177094
10,waymo_train,waymo_0-299,134006,2657;ego,ego,"range(26, 90)",0.4,1.8,0.5,64,1.0
11,waymo_train,waymo_0-299,14720,899;ego,ego,"range(6, 63)",0.4,1.8,0.5,57,0.9715649574060888
12,waymo_train,waymo_0-299,15227,1844;ego,ego,"range(9, 75)",0.4,1.8,0.5,66,0.9569269414891945
13,waymo_train,waymo_0-299,16714,526;ego,ego,"range(4, 71)",0.4,1.8,0.5,67,1.0
14,waymo_train,waymo_0-299,19079,165;ego,ego,"range(22, 70)",0.4,1.8,0.5,48,1.0
15,waymo_train,waymo_0-299,20296,950;ego,ego,"range(0, 29)",0.4,1.8,0.5,29,1.0
16,waymo_train,waymo_0-299,20708,5;ego,ego,"range(0, 53)",0.4,1.8,0.5,53,0.9888947798778194
17,waymo_train,waymo_0-299,20895,1936;ego,ego,"range(2, 55)",0.4,1.8,0.5,53,0.9993216484824835
18,waymo_train,waymo_0-299,24389,1952;ego,ego,"range(16, 62)",0.4,1.8,0.5,46,1.0
19,waymo_train,waymo_0-299,25708,1887;ego,ego,"range(23, 75)",0.4,1.8,0.5,52,0.999847336790967
20,waymo_train,waymo_0-299,27447,68;ego,ego,"range(0, 30)",0.4,1.8,0.5,30,0.9934760357375232
21,waymo_train,waymo_0-299,27765,2421;ego,ego,"range(13, 59)",0.4,1.8,0.5,46,1.0
22,waymo_train,waymo_0-299,29833,798;ego,ego,"range(0, 52)",0.4,1.8,0.5,52,1.0
23,waymo_train,waymo_0-299,30020,1117;ego,ego,"range(19, 64)",0.4,1.8,0.5,45,0.996301505164764
24,waymo_train,waymo_0-299,90380,861;ego,ego,"range(0, 36)",0.4,1.8,0.5,36,1.0
25,waymo_train,waymo_0-299,91392,1093;ego,ego,"range(21, 65)",0.4,1.8,0.5,44,1.0
26,waymo_train,waymo_0-299,91425,1483;ego,ego,"range(0, 46)",0.4,1.8,0.5,46,1.0
27,waymo_train,waymo_0-299,91832,4313;ego,ego,"range(3, 43)",0.4,1.8,0.5,40,0.9983989270474656
28,waymo_train,waymo_0-299,91933,518;ego,ego,"range(36, 81)",0.4,1.8,0.5,45,0.9977918263471265
29,waymo_train,waymo_0-299,31651,1806;ego,ego,"range(2, 59)",0.4,1.8,0.5,57,1.0
30,waymo_train,waymo_0-299,93102,701;ego,ego,"range(0, 45)",0.4,1.8,0.5,45,0.9854595698855306
31,waymo_train,waymo_0-299,94336,957;ego,ego,"range(0, 38)",0.4,1.8,0.5,38,0.9448566300153819
32,waymo_train,waymo_0-299,35451,389;391;ego,ego,"range(25, 65)",0.4,1.8,0.5,40,0.7945931339803053
33,waymo_train,waymo_0-299,96603,1803;ego,ego,"range(0, 39)",0.4,1.8,0.5,39,0.8999454065916844
34,waymo_train,waymo_0-299,97207,2371;ego,ego,"range(24, 86)",0.4,1.8,0.5,62,0.9837166096210052
35,waymo_train,waymo_0-299,37022,20;ego,ego,"range(16, 78)",0.4,1.8,0.5,62,0.9954475301106022
36,waymo_train,waymo_0-299,99483,1094;ego,ego,"range(29, 76)",0.4,1.8,0.5,47,0.997606597472931
