index,dataset,folder,scenario_idx,track_id,ego_id,timerange,comfortable_threshold,uncomfortable_threshold,linear_decay_slope,n_timesteps,yaw_rate
57,waymo_train,waymo_0-299,53713,1870;ego,ego,"range(5, 45)",0.1,0.37,0.5,40,0.8729001226534022
58,waymo_train,waymo_0-299,116679,760;ego,ego,"range(12, 65)",0.1,0.37,0.5,53,1.0
59,waymo_train,waymo_0-299,118224,294;295;ego,ego,"range(25, 66)",0.1,0.37,0.5,41,0.9704220060158483
60,waymo_train,waymo_0-299,118961,1860;ego,ego,"range(16, 71)",0.1,0.37,0.5,55,1.0
61,waymo_train,waymo_0-299,119354,1624;1669;ego,ego,"range(21, 73)",0.1,0.37,0.5,52,1.0
62,waymo_train,waymo_0-299,57654,996;ego,ego,"range(27, 67)",0.1,0.37,0.5,40,1.0
63,waymo_train,waymo_0-299,58006,627;ego,ego,"range(27, 76)",0.1,0.37,0.5,49,1.0
64,waymo_train,waymo_0-299,123816,1865;ego,ego,"range(19, 67)",0.1,0.37,0.5,48,1.0
65,waymo_train,waymo_0-299,60754,364;ego,ego,"range(0, 40)",0.1,0.37,0.5,40,1.0
66,waymo_train,waymo_0-299,124480,822;ego,ego,"range(4, 43)",0.1,0.37,0.5,39,1.0
67,waymo_train,waymo_0-299,126269,73;ego,ego,"range(6, 58)",0.1,0.37,0.5,52,0.8734559083720804
68,waymo_train,waymo_0-299,62972,514;ego,ego,"range(0, 48)",0.1,0.37,0.5,48,1.0
69,waymo_train,waymo_0-299,63545,1558;ego,ego,"range(28, 90)",0.1,0.37,0.5,62,1.0
70,waymo_train,waymo_0-299,128041,1991;ego,ego,"range(0, 54)",0.1,0.37,0.5,54,1.0
71,waymo_train,waymo_0-299,128046,510;ego,ego,"range(24, 63)",0.1,0.37,0.5,39,0.9976459841298577
72,waymo_train,waymo_0-299,128061,1511;ego,ego,"range(11, 57)",0.1,0.37,0.5,46,1.0
73,waymo_train,waymo_0-299,128172,0;2;ego,ego,"range(0, 34)",0.1,0.37,0.5,34,1.0
74,waymo_train,waymo_0-299,128987,851;ego,ego,"range(25, 81)",0.1,0.37,0.5,56,1.0
75,waymo_train,waymo_0-299,129657,1167;ego,ego,"range(31, 71)",0.1,0.37,0.5,40,0.7464333211404608
76,waymo_train,waymo_0-299,130102,0;ego,ego,"range(0, 30)",0.1,0.37,0.5,30,1.0
77,waymo_train,waymo_0-299,130664,944;ego,ego,"range(3, 70)",0.1,0.37,0.5,67,1.0
78,waymo_train,waymo_0-299,132604,147;ego,ego,"range(21, 65)",0.1,0.37,0.5,44,0.5448140778385571
